date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2025-12-26,20:40:10,YUL62-P4,219,104.168.71.101,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,hwu0YMN36aJOrvXSpG8yQyZmm1yWaDocXcLof8ILXj0VJTzDeusyyQ\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.029,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,13218,0.029,Error,-,0,-,-
2025-12-26,20:40:19,JFK50-P3,219,103.196.9.15,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,LAUZdVQX34ZKDf8TRCHr1-AUX_8CF5m8e11lMUCgcB7IIaa9sxeeow\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.022,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,8580,0.022,Error,-,0,-,-
2025-12-26,20:40:12,LAX54-P9,218,104.253.252.244,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,9YE52N48_c9Rt1FgYiLD7e1WKx4GAKgzZ8L-1r66DFgvexne93KUJw\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.087,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,25522,0.087,Error,-,0,-,-
2025-12-26,20:40:02,LAX54-P9,608,104.253.252.246,GET,dbkbtek9v7jgv.cloudfront.net,/,301,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Redirect,NOWqKw579LcGBjqIIVcEbrtyRFOFMhkAiu9S05fXeznesWFenTll_w\=\=,dbkbtek9v7jgv.amplifyapp.com,http,518,0.002,-,-,-,Redirect,HTTP/1.1,-,-,26512,0.002,Redirect,text/html,167,-,-
2025-12-26,20:40:22,YUL62-P4,217,104.168.71.222,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,dEwsI4iI4gtTBlr-7FoTGV3CDX9sUffG9_6eCYW8sNA85QrX0u9eSw\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.100,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,28316,0.100,Error,-,0,-,-
2025-12-26,20:40:29,LAX54-P9,218,104.253.252.13,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,K8xLO-XiWuBouUoWf6K6_QWisSe5hWstGnB5xMO2g_dpsXP4WFo8hg\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.081,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,7940,0.081,Error,-,0,-,-
2025-12-26,20:40:33,MIA50-P2,218,104.253.247.122,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,m4VV365B7l5Uwm7U3QNREsIo9TMFgqGQZtH9yWT4oiZOGM3poJt_Dw\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.036,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,50756,0.036,Error,-,0,-,-
2025-12-26,20:40:41,LAX54-P9,217,104.253.252.13,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,3c_o_RGvsDrGzBDFjyWyBd0e252CiymwpSrjiujiC5Ky9VQBpY1umg\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.079,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,33818,0.079,Error,-,0,-,-
2025-12-26,20:41:41,DXB52-P2,1831,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/,200,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,rovIBw4QMD7nHiUf7BwV-J5uBKlKtNWpR8SQlMpWY4UmlpxWx9j14g\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,488,0.244,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,55168,0.244,Miss,text/html,1434,-,-
2025-12-26,20:41:41,DXB52-P2,1795,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/favicon.ico,404,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Error,E3dtaKl7oQH7hNDf-1Qj6ErrSSfRm0KwWoMwSyh0wm_Ge0rx4YhZAA\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,147,0.269,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,55168,0.269,Error,text/html,1434,-,-
